tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
496,4/1/2016 00:00:26,4/1/2016 00:08:42,254,W 11 St & 6 Ave,40.73532427,-73.99800419,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,19704,Subscriber,1984.0,1
104,4/1/2016 00:00:27,4/1/2016 00:02:12,311,Norfolk St & Broome St,40.7172274,-73.98802084,350,Clinton St & Grand St,40.71559509,-73.9870295,21555,Subscriber,1970.0,1
128,4/1/2016 00:00:30,4/1/2016 00:02:38,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,17430,Subscriber,1986.0,1
1197,4/1/2016 00:00:34,4/1/2016 00:20:31,3156,E 72 St & York Ave,40.76663814,-73.95348296,490,8 Ave & W 33 St,40.751551,-73.993934,17413,Subscriber,1981.0,1
419,4/1/2016 00:00:46,4/1/2016 00:07:46,116,W 17 St & 8 Ave,40.74177603,-74.00149746,405,Washington St & Gansevoort St,40.739323,-74.008119,16714,Subscriber,1982.0,2
388,4/1/2016 00:00:59,4/1/2016 00:07:28,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,326,E 11 St & 1 Ave,40.72953837,-73.98426726,19581,Subscriber,1996.0,1
558,4/1/2016 00:01:38,4/1/2016 00:10:56,453,W 22 St & 8 Ave,40.74475148,-73.99915362,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,21125,Subscriber,1983.0,1
236,4/1/2016 00:01:38,4/1/2016 00:05:34,477,W 41 St & 8 Ave,40.75640548,-73.9900262,379,W 31 St & 7 Ave,40.749156,-73.9916,16677,Subscriber,1965.0,1
493,4/1/2016 00:01:40,4/1/2016 00:09:53,478,11 Ave & W 41 St,40.76030096,-73.99884222,459,W 20 St & 11 Ave,40.746745,-74.007756,18880,Subscriber,1977.0,1
1117,4/1/2016 00:01:48,4/1/2016 00:20:25,401,Allen St & Rivington St,40.72019576,-73.98997825,337,Old Slip & Front St,40.7037992,-74.00838676,21394,Subscriber,1981.0,1
379,4/1/2016 00:02:13,4/1/2016 00:08:33,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,470,W 20 St & 8 Ave,40.74345335,-74.00004031,16412,Subscriber,1980.0,2
236,4/1/2016 00:02:15,4/1/2016 00:06:12,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3086,Graham Ave & Conselyea St,40.715143,-73.944507,15919,Subscriber,1990.0,1
429,4/1/2016 00:02:18,4/1/2016 00:09:27,546,E 30 St & Park Ave S,40.74444921,-73.98303529,501,FDR Drive & E 35 St,40.744219,-73.97121214,20828,Subscriber,1991.0,1
701,4/1/2016 00:02:25,4/1/2016 00:14:07,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,393,E 5 St & Avenue C,40.72299208,-73.97995466,21003,Subscriber,1992.0,1
495,4/1/2016 00:02:26,4/1/2016 00:10:41,439,E 4 St & 2 Ave,40.7262807,-73.98978041,361,Allen St & Hester St,40.71605866,-73.99190759,15965,Subscriber,1969.0,1
501,4/1/2016 00:02:33,4/1/2016 00:10:54,174,E 25 St & 1 Ave,40.7381765,-73.97738662,394,E 9 St & Avenue C,40.72521311,-73.97768752,20944,Subscriber,1983.0,1
427,4/1/2016 00:02:44,4/1/2016 00:09:52,320,Leonard St & Church St,40.717571,-74.005549,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,18775,Subscriber,1982.0,1
489,4/1/2016 00:02:47,4/1/2016 00:10:56,326,E 11 St & 1 Ave,40.72953837,-73.98426726,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,15499,Subscriber,1981.0,2
